epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3391.22,0.73713,0.02337,0.079,0.41835,1.08875,0.99638,1,0.995,0.77284,0.99638,1,0.995,0.995,0.9104,0.03927,0.00083,0.40902,1.25602,0.0015116,0.0015116,0.0015116
76,3437.73,0.71141,0.02876,0.02999,0.38812,1.0751,0.99628,1,0.995,0.78591,0.99628,1,0.995,0.995,0.87169,0.03888,0.00069,0.37783,1.23265,0.001505,0.001505,0.001505
77,3484.68,0.78513,0.02898,0.06663,0.40483,1.1306,0.99714,1,0.995,0.73479,0.99714,1,0.995,0.995,1.04175,0.03653,0.00099,0.40225,1.37577,0.0014984,0.0014984,0.0014984
78,3531.03,0.82574,0.02824,0.05763,0.43437,1.14658,0.99737,1,0.995,0.7719,0.99737,1,0.995,0.995,0.82454,0.03282,0.0015,0.36761,1.20539,0.0014918,0.0014918,0.0014918
79,3576.09,0.74943,0.02524,0.05917,0.39804,1.06743,0.99691,1,0.995,0.78704,0.99691,1,0.995,0.995,0.79459,0.03035,0.00226,0.38842,1.16879,0.0014852,0.0014852,0.0014852
80,3622.21,0.74499,0.03139,0.08746,0.42853,1.09341,0.99763,1,0.995,0.77156,0.99763,1,0.995,0.995,0.82782,0.02953,0.0038,0.42723,1.18601,0.0014786,0.0014786,0.0014786
81,3668.43,0.786,0.02204,0.09604,0.40773,1.11676,0.99717,1,0.995,0.76259,0.99717,1,0.995,0.995,0.80967,0.03,0.00435,0.4351,1.1726,0.001472,0.001472,0.001472
82,3714.09,0.77337,0.01531,0.04415,0.44447,1.08084,0.99653,1,0.995,0.79412,0.99653,1,0.995,0.995,0.75636,0.03094,0.00288,0.46006,1.1482,0.0014654,0.0014654,0.0014654
83,3759.11,0.74569,0.02166,0.10875,0.41717,1.07266,0.99656,1,0.995,0.77835,0.99656,1,0.995,0.995,0.79697,0.0309,0.00546,0.51152,1.18189,0.0014588,0.0014588,0.0014588
84,3804.4,0.80785,0.01672,0.06736,0.46855,1.12334,0.9966,1,0.995,0.77187,0.9966,1,0.995,0.995,0.83799,0.03135,0.00556,0.52958,1.20806,0.0014522,0.0014522,0.0014522
85,3849.59,0.72363,0.02731,0.09264,0.42731,1.08824,0.99831,1,0.995,0.77868,0.99831,1,0.995,0.995,0.83325,0.03643,0.00185,0.51431,1.2069,0.0014456,0.0014456,0.0014456
86,3897.54,0.74343,0.02252,0.04278,0.42676,1.07253,1,0.99891,0.995,0.76719,1,0.99891,0.995,0.995,0.83252,0.03658,0.00085,0.48212,1.19999,0.001439,0.001439,0.001439
87,3942.61,0.78809,0.02176,0.05948,0.41381,1.15501,0.99898,1,0.995,0.76418,0.99898,1,0.995,0.995,0.88179,0.03242,0.00086,0.43326,1.24402,0.0014324,0.0014324,0.0014324
88,3987.6,0.73533,0.02137,0.10181,0.42168,1.09136,0.99837,1,0.995,0.75748,0.99837,1,0.995,0.995,0.8689,0.03068,0.00136,0.40521,1.23143,0.0014258,0.0014258,0.0014258
89,4034.23,0.80896,0.02082,0.09849,0.49746,1.1618,0.99823,1,0.995,0.73094,0.99823,1,0.995,0.995,0.93717,0.03001,0.00298,0.42903,1.2812,0.0014192,0.0014192,0.0014192
90,4095.93,0.71658,0.01834,0.07847,0.43097,1.06335,0.99766,1,0.995,0.75993,0.99766,1,0.995,0.995,0.86091,0.02712,0.01116,0.3978,1.21796,0.0014126,0.0014126,0.0014126
91,4156.59,0.77025,0.01714,0.06064,0.43977,1.11186,0.99734,1,0.995,0.77027,0.99734,1,0.995,0.995,0.85301,0.02732,0.02147,0.40188,1.20292,0.001406,0.001406,0.001406
92,4215.9,0.7784,0.02703,0.09787,0.44428,1.09612,0.99748,1,0.995,0.76217,0.99748,1,0.995,0.995,0.86524,0.02691,0.01767,0.39975,1.213,0.0013994,0.0013994,0.0013994
93,4276.07,0.66868,0.01721,0.06444,0.39932,1.038,0.99757,1,0.995,0.75865,0.99757,1,0.995,0.995,0.86786,0.02642,0.0104,0.38861,1.2204,0.0013928,0.0013928,0.0013928
94,4336.06,0.81972,0.02058,0.09217,0.44383,1.16658,0.99746,1,0.995,0.76558,0.99746,1,0.995,0.995,0.91436,0.02602,0.00317,0.40876,1.26001,0.0013862,0.0013862,0.0013862
95,4392.85,0.74731,0.01724,0.06818,0.41625,1.09751,0.99745,1,0.995,0.72975,0.99745,1,0.995,0.995,0.97913,0.029,0.00257,0.4142,1.30994,0.0013796,0.0013796,0.0013796
96,4446.85,0.73462,0.01983,0.02634,0.38572,1.09422,0.99735,1,0.995,0.71941,0.99735,1,0.995,0.995,0.94844,0.03215,0.00258,0.40467,1.29273,0.001373,0.001373,0.001373
97,4502.77,0.75103,0.02522,0.05924,0.40275,1.06113,0.99811,1,0.995,0.7749,0.99811,1,0.995,0.995,0.80616,0.03312,0.00401,0.36419,1.18136,0.0013664,0.0013664,0.0013664
98,4556.82,0.70714,0.01602,0.03578,0.37634,1.06725,0.99853,1,0.995,0.75471,0.99853,1,0.995,0.995,0.90964,0.03118,0.00348,0.35688,1.26283,0.0013598,0.0013598,0.0013598
99,4610.51,0.68348,0.01481,0.03702,0.39043,1.06414,0.99792,1,0.995,0.74845,0.99792,1,0.995,0.995,0.88422,0.0297,0.00238,0.3583,1.24383,0.0013532,0.0013532,0.0013532
100,4666.73,0.69959,0.01618,0.0796,0.38467,1.0675,0.99758,1,0.995,0.77808,0.99758,1,0.995,0.995,0.78887,0.02812,0.00149,0.34156,1.17132,0.0013466,0.0013466,0.0013466
101,4721.98,0.70105,0.01255,0.07075,0.3808,1.06055,0.99746,1,0.995,0.78082,0.99746,1,0.995,0.995,0.81016,0.02758,0.00138,0.33947,1.17207,0.00134,0.00134,0.00134
102,4779.16,0.68467,0.0268,0.07263,0.40978,0.98866,0.99733,1,0.995,0.76794,0.99733,1,0.995,0.995,0.85185,0.02608,0.0018,0.38741,1.2173,0.0013334,0.0013334,0.0013334
103,4837.67,0.70376,0.02155,0.05521,0.38395,1.04568,0.99713,1,0.995,0.78527,0.99713,1,0.995,0.995,0.84632,0.02523,0.00158,0.38999,1.21583,0.0013268,0.0013268,0.0013268
104,4891.85,0.66754,0.01774,0.04742,0.37189,1.02514,0.99726,1,0.995,0.76546,0.99726,1,0.995,0.995,0.84925,0.02279,0.00137,0.397,1.22747,0.0013202,0.0013202,0.0013202
105,4948.41,0.71428,0.01536,0.03327,0.40465,1.13258,0.99726,1,0.995,0.74026,0.99726,1,0.995,0.995,0.99825,0.02022,0.00154,0.41406,1.39119,0.0013136,0.0013136,0.0013136
106,5002.08,0.76438,0.01674,0.06356,0.41837,1.10255,0.99736,1,0.995,0.74394,0.99736,1,0.995,0.995,0.92814,0.02413,0.00111,0.39703,1.30028,0.001307,0.001307,0.001307
107,5057.6,0.70068,0.01712,0.05904,0.40624,1.05146,0.99753,1,0.995,0.79334,0.99753,1,0.995,0.995,0.83586,0.02779,0.00079,0.38178,1.20627,0.0013004,0.0013004,0.0013004
108,5115.6,0.6972,0.01938,0.05671,0.38812,1.07853,0.99755,1,0.995,0.78783,0.99755,1,0.995,0.995,0.83951,0.02391,0.00056,0.37151,1.2181,0.0012938,0.0012938,0.0012938
109,5168.56,0.65337,0.01392,0.04945,0.36715,1.04289,0.9976,1,0.995,0.79157,0.9976,1,0.995,0.995,0.88045,0.02122,0.00066,0.37402,1.25406,0.0012872,0.0012872,0.0012872
110,5221.78,0.74349,0.01697,0.07027,0.38683,1.08327,0.99737,1,0.995,0.75176,0.99737,1,0.995,0.995,0.97426,0.02118,0.00342,0.36615,1.32232,0.0012806,0.0012806,0.0012806
111,5274.14,0.74699,0.01847,0.04884,0.42356,1.11276,0.99745,1,0.995,0.78191,0.99745,1,0.995,0.995,0.86867,0.01975,0.00811,0.35712,1.23352,0.001274,0.001274,0.001274
112,5326.41,0.65227,0.01343,0.04041,0.36601,1.05197,0.99754,1,0.995,0.77515,0.99754,1,0.995,0.995,0.83991,0.01936,0.0064,0.35665,1.20734,0.0012674,0.0012674,0.0012674
113,5381.55,0.64576,0.01633,0.02828,0.35956,1.02066,0.99769,1,0.995,0.78132,0.99769,1,0.995,0.995,0.87942,0.0243,0.0034,0.35814,1.24725,0.0012608,0.0012608,0.0012608
114,5433.7,0.66304,0.02004,0.02024,0.36728,1.04879,0.99762,1,0.995,0.76546,0.99762,1,0.995,0.995,0.93973,0.02638,0.00105,0.37688,1.34035,0.0012542,0.0012542,0.0012542
115,5486.58,0.71489,0.01866,0.02939,0.3658,1.01464,0.99768,1,0.995,0.75203,0.99768,1,0.995,0.995,0.90373,0.02688,0.00075,0.38565,1.30834,0.0012476,0.0012476,0.0012476
116,5538.67,0.64742,0.01857,0.09058,0.3673,1.00154,0.99816,1,0.995,0.74871,0.99816,1,0.995,0.995,0.89153,0.0265,0.00103,0.39292,1.27585,0.001241,0.001241,0.001241
117,5594.8,0.69035,0.01946,0.05769,0.38521,1.09241,1,0.99967,0.995,0.75717,1,0.99967,0.995,0.995,0.88133,0.02745,0.00279,0.40354,1.25422,0.0012344,0.0012344,0.0012344
118,5651.43,0.67577,0.01591,0.01575,0.3799,1.04792,1,0.99944,0.995,0.75717,1,0.99944,0.995,0.995,0.86089,0.02461,0.00527,0.3863,1.23611,0.0012278,0.0012278,0.0012278
119,5707.22,0.69085,0.01475,0.06631,0.38335,1.06464,0.99891,1,0.995,0.76554,0.99891,1,0.995,0.995,0.91595,0.02401,0.00704,0.37859,1.29414,0.0012212,0.0012212,0.0012212
