Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
67,0.011621,0.00243,0.4584,48.48,41.04,33.23,17.41,2.16,7.11,259.03,0.004961,0.001069,0.5206,57.07,28.86,22.57,13.71,2.02,8.59,122.3
68,0.012528,0.002549,0.4492,45.94,42.36,36.48,15.23,2.66,7.87,306.59,0.004515,0.001,0.5451,58.08,27.06,22.57,10.95,2.53,13.13,119.3
69,0.012187,0.00254,0.457,47.97,42.55,34.89,17.88,1.78,6.6,267.61,0.005156,0.001059,0.5288,60.1,29.84,23.33,14.87,2.02,8.59,129.19
70,0.011937,0.002547,0.445,46.32,42.03,35.2,16.6,0.89,6.73,209.03,0.005097,0.001162,0.5222,58.59,27.99,22.08,12.73,3.54,13.13,145.36
71,0.011299,0.002351,0.4554,47.59,41.59,34.03,17.05,1.14,6.6,235.7,0.004886,0.001114,0.518,58.59,27.53,22.91,10.85,4.55,13.13,133.82
72,0.012536,0.002697,0.4343,42.51,41.55,34.87,16.58,2.16,9.01,213.71,0.005102,0.001187,0.5039,55.05,28.4,24.25,10.58,3.03,12.12,113.27
73,0.013308,0.002623,0.461,47.72,42.17,35.12,16.33,1.65,8.63,341.8,0.005295,0.001209,0.5077,54.04,28.09,24.02,10.77,3.54,15.66,137.19
74,0.012955,0.002605,0.4571,48.48,42.78,36.15,16.29,2.16,8.12,281.25,0.004878,0.00118,0.5278,57.58,26.64,21.9,11.39,3.54,13.13,139.34
75,0.0111,0.002336,0.4575,46.95,40.12,32.82,16.91,1.52,7.23,284.14,0.005107,0.001093,0.5067,53.54,29.56,24.05,12.91,1.01,7.58,123.38
76,0.012408,0.002592,0.4281,42.89,43.07,36.6,16.47,1.78,7.87,279.48,0.005236,0.0011,0.5102,53.54,29.35,24.81,11.49,4.04,14.14,146.7
77,0.010619,0.002144,0.4752,51.4,38.57,32.38,15.16,2.03,9.39,269.03,0.004742,0.001075,0.5265,59.09,26.85,22.36,10.91,4.55,15.66,125.36
78,0.011101,0.002252,0.4662,50.76,40.41,34.04,15.17,1.9,7.87,232.1,0.004592,0.001013,0.5429,61.11,27.03,22.32,11.58,4.55,12.63,117.74
79,0.010691,0.002166,0.4932,55.71,38.85,32.66,15.13,1.27,7.87,271.08,0.005014,0.001041,0.539,63.64,29.04,25.28,10.38,2.53,12.63,102.02
80,0.012726,0.002593,0.4511,48.22,42.46,35.23,16.87,2.41,8.88,265.11,0.005049,0.001141,0.5299,58.08,27.9,22.95,11.97,4.04,13.13,128.75
81,0.011643,0.0024,0.471,48.1,39.65,33.54,14.86,2.54,8.63,297.69,0.004658,0.001074,0.5291,59.6,26.51,22.34,10.25,5.05,16.16,129.42
82,0.011326,0.002395,0.4685,48.98,39.13,32.58,15.77,3.43,10.53,279.62,0.004429,0.00103,0.5361,60.1,25.96,22.4,9.68,2.02,13.13,114.0
83,0.011599,0.002379,0.4557,46.95,40.46,34.05,15.61,1.4,7.74,263.41,0.004994,0.001164,0.5085,57.58,27.83,23.48,10.94,3.03,13.64,122.88
