epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4890.75,0.6262,0.00818,0.04484,0.32994,0.90307,0.9994,1,0.995,0.86469,0.9994,1,0.995,0.99273,0.65848,0.01162,0.00026,0.27284,0.8822,0.00101,0.00101,0.00101
77,4959.3,0.66573,0.0051,0.02865,0.35368,0.9412,0.9994,1,0.995,0.85504,0.9994,1,0.995,0.99194,0.6533,0.01179,0.00026,0.28027,0.8796,0.0009968,0.0009968,0.0009968
78,5014.81,0.6456,0.00695,0.0404,0.34661,0.93442,0.99942,1,0.995,0.84128,0.99942,1,0.995,0.99329,0.6882,0.0119,0.00067,0.28956,0.88542,0.0009836,0.0009836,0.0009836
79,5070.52,0.63528,0.00442,0.0179,0.3396,0.92422,0.99939,1,0.995,0.84765,0.99939,1,0.995,0.99159,0.66432,0.01192,0.00053,0.27627,0.87437,0.0009704,0.0009704,0.0009704
80,5126.03,0.68332,0.00432,0.02603,0.35869,0.9339,0.99937,1,0.995,0.86943,0.99937,1,0.995,0.99073,0.62636,0.0118,0.00026,0.26227,0.86714,0.0009572,0.0009572,0.0009572
81,5181.87,0.64642,0.00605,0.02089,0.33828,0.92436,0.9994,1,0.995,0.85431,0.9994,1,0.995,0.99242,0.62507,0.01153,0.00011,0.26288,0.86158,0.000944,0.000944,0.000944
82,5236.88,0.65026,0.00409,0.03093,0.34149,0.93105,0.99943,1,0.995,0.86952,0.99943,1,0.995,0.99286,0.66761,0.01084,0.00015,0.28031,0.87664,0.0009308,0.0009308,0.0009308
83,5293.06,0.64982,0.00755,0.02543,0.33665,0.92756,0.99943,1,0.995,0.8592,0.99943,1,0.995,0.99236,0.66334,0.01172,7e-05,0.27366,0.87446,0.0009176,0.0009176,0.0009176
84,5351.82,0.67925,0.00505,0.04382,0.34062,0.94144,0.99941,1,0.995,0.85861,0.99941,1,0.995,0.99235,0.70954,0.0137,0.00019,0.2806,0.89211,0.0009044,0.0009044,0.0009044
85,5408.16,0.66972,0.00473,0.03048,0.34521,0.94112,0.9994,1,0.995,0.87268,0.9994,1,0.995,0.99327,0.65321,0.01243,0.0003,0.28245,0.87192,0.0008912,0.0008912,0.0008912
